Yield_CT,Yield_NT,NT_effect,Latitude,Longitude,Crop,Years_NT,Crop_rotation_CT,Crop_rotation_NT,Soil_cover_CT,Soil_cover_NT,Weed_pest_control_CT,Weed_pest_control_NT,P,E,PB,Tave,Tmax,Tmin,ST
4409.0,4062.0,No,40.52,-75.78,wheat.winter,5,1,1,0.0,1.0,1.0,0.0,1117.4,663.805,453.595,11.7,30.81367,-6.75591,Loam
2976.0,1981.0,No,40.52,-75.78,wheat.winter,5,1,1,0.0,1.0,1.0,0.0,1117.4,663.805,453.595,11.7,30.81367,-6.75591,Loam
5710.0,5450.0,No,29.07,77.77,wheat.winter,3,0,0,,,1.0,1.0,-45.3,257.74,-303.04,22.725,28.51988,6.73476,Loam
5680.0,5330.0,No,29.07,77.77,wheat.winter,3,0,0,,,1.0,1.0,-45.3,257.74,-303.04,22.725,28.51988,6.73476,Loam
3810.0,3060.0,No,29.07,77.77,wheat.winter,1,0,0,,,1.0,1.0,-19.0,258.778,-277.778,22.45,27.36826,8.27173,Loam
3700.0,2870.0,No,29.07,77.77,wheat.winter,1,0,0,,,1.0,1.0,-19.0,258.778,-277.778,22.45,27.36826,8.27173,Loam
5020.0,3200.0,No,29.07,77.77,wheat.winter,1,0,0,,,1.0,1.0,-19.0,258.778,-277.778,22.45,27.36826,8.27173,Loam
6320.0,6020.0,No,29.07,77.77,wheat.winter,3,0,0,,,1.0,1.0,-45.3,257.74,-303.04,22.725,28.51988,6.73476,Loam
4230.0,3740.0,No,29.07,77.77,wheat.winter,1,0,0,0.0,0.0,1.0,1.0,-19.0,258.778,-277.778,22.45,27.36826,8.27173,Loam
4080.0,3540.0,No,29.07,77.77,wheat.winter,1,0,0,0.0,0.0,1.0,1.0,-19.0,258.778,-277.778,22.45,27.36826,8.27173,Loam
4760.0,3960.0,No,29.07,77.77,wheat.winter,1,0,0,0.0,0.0,1.0,1.0,-19.0,258.778,-277.778,22.45,27.36826,8.27173,Loam
5540.0,5420.0,No,29.07,77.77,wheat.winter,3,0,0,0.0,0.0,1.0,1.0,-45.3,257.74,-303.04,22.725,28.51988,6.73476,Loam
5370.0,5250.0,No,29.07,77.77,wheat.winter,3,0,0,0.0,0.0,1.0,1.0,-45.3,257.74,-303.04,22.725,28.51988,6.73476,Loam
5810.0,5700.0,No,29.07,77.77,wheat.winter,3,0,0,0.0,0.0,1.0,1.0,-45.3,257.74,-303.04,22.725,28.51988,6.73476,Loam
3010.0,2860.0,No,44.35,-85.58,soybean,7,1,1,,,1.0,1.0,441.0,482.936,-41.936,15.35,26.31093,4.89815,Sandy loam
1510.0,2040.0,Yes,44.35,-85.58,soybean,10,1,1,,,1.0,1.0,422.5,445.305,-22.805,14.4,26.93364,3.10404,Sandy loam
2660.0,2920.0,Yes,44.35,-85.58,soybean,13,1,1,,,1.0,1.0,474.4,458.427,15.973,15.65,25.54588,4.34885,Sandy loam
1620.0,1870.0,Yes,44.35,-85.58,soybean,16,1,1,,,1.0,1.0,466.3,472.668,-6.368,14.88333,25.81871,2.25784,Sandy loam
2870.0,3600.0,Yes,44.35,-85.58,soybean,19,1,1,,,1.0,1.0,616.1,478.747,137.353,15.51667,27.71552,1.70593,Sandy loam
8660.0,6610.0,No,29.02,77.75,rice,5,0,0,0.0,1.0,1.0,1.0,404.4,450.584,-46.184,27.58,35.00947,13.85652,Loam
8790.0,7010.0,No,29.02,77.75,rice,6,0,0,0.0,1.0,1.0,1.0,544.5,439.466,105.034,27.36,34.85366,12.72313,Loam
8000.0,6130.0,No,29.02,77.75,rice,7,0,0,0.0,1.0,1.0,1.0,687.2,431.871,255.329,27.18,34.13989,13.04172,Loam
8000.0,6960.0,No,29.02,77.75,rice,8,0,0,0.0,1.0,1.0,1.0,595.4,433.603,161.797,27.54,36.16642,13.17497,Loam
5670.0,6250.0,Yes,29.02,77.75,wheat.winter,7,0,0,0.0,1.0,1.0,1.0,34.3,268.498,-234.198,24.075,28.68735,9.30439,Loam
2700.0,2600.0,No,31.53,75.91,maize,2,0,0,0.0,0.0,1.0,1.0,433.0,503.851,-70.851,29.68,40.23806,15.81546,Loam
3900.0,3300.0,No,31.53,75.91,maize,3,0,0,0.0,0.0,1.0,1.0,558.3,525.754,32.546,30.08,40.72791,18.32898,Loam
3100.0,2900.0,No,31.53,75.91,maize,4,0,0,0.0,0.0,1.0,1.0,660.6,519.729,140.871,29.08,36.08873,16.77941,Loam
3200.0,3000.0,No,31.53,75.91,maize,5,0,0,0.0,0.0,1.0,1.0,625.5,508.436,117.064,29.34,36.97631,16.75304,Loam
3200.0,3100.0,No,31.53,75.91,maize,6,0,0,0.0,0.0,1.0,1.0,505.1,542.553,-37.453,30.28,38.09358,19.64371,Loam
2700.0,2600.0,No,31.53,75.91,maize,2,0,0,0.0,0.0,1.0,1.0,433.0,503.851,-70.851,29.68,40.23806,15.81546,Loam
3900.0,3700.0,No,31.53,75.91,maize,3,0,0,0.0,0.0,1.0,1.0,558.3,525.754,32.546,30.08,40.72791,18.32898,Loam
3100.0,3700.0,Yes,31.53,75.91,maize,4,0,0,0.0,0.0,1.0,1.0,660.6,519.729,140.871,29.08,36.08873,16.77941,Loam
3200.0,3900.0,Yes,31.53,75.91,maize,5,0,0,0.0,0.0,1.0,1.0,625.5,508.436,117.064,29.34,36.97631,16.75304,Loam
3200.0,4000.0,Yes,31.53,75.91,maize,6,0,0,0.0,0.0,1.0,1.0,505.1,542.553,-37.453,30.28,38.09358,19.64371,Loam
1400.0,1200.0,No,31.53,75.91,wheat.winter,1,0,0,0.0,0.0,1.0,1.0,257.0,544.285,-287.285,26.63333,39.06087,6.23709,Loam
1600.0,1100.0,No,31.53,75.91,wheat.winter,1,0,0,0.0,0.0,1.0,1.0,257.0,544.285,-287.285,26.63333,39.06087,6.23709,Loam
1500.0,900.0,No,31.53,75.91,wheat.winter,1,0,0,0.0,0.0,1.0,1.0,257.0,544.285,-287.285,26.63333,39.06087,6.23709,Loam
1400.0,800.0,No,31.53,75.91,wheat.winter,1,0,0,0.0,0.0,1.0,1.0,257.0,544.285,-287.285,26.63333,39.06087,6.23709,Loam
1100.0,400.0,No,31.53,75.91,wheat.winter,1,0,0,0.0,0.0,1.0,1.0,257.0,544.285,-287.285,26.63333,39.06087,6.23709,Loam
1400.0,1300.0,No,31.53,75.91,wheat.winter,1,0,0,0.0,1.0,1.0,1.0,257.0,544.285,-287.285,26.63333,39.06087,6.23709,Loam
1600.0,1500.0,No,31.53,75.91,wheat.winter,1,0,0,0.0,1.0,1.0,1.0,257.0,544.285,-287.285,26.63333,39.06087,6.23709,Loam
1500.0,1200.0,No,31.53,75.91,wheat.winter,1,0,0,0.0,1.0,1.0,1.0,257.0,544.285,-287.285,26.63333,39.06087,6.23709,Loam
1400.0,1500.0,Yes,31.53,75.91,wheat.winter,1,0,0,0.0,1.0,1.0,1.0,257.0,544.285,-287.285,26.63333,39.06087,6.23709,Loam
1100.0,800.0,No,31.53,75.91,wheat.winter,1,0,0,0.0,1.0,1.0,1.0,257.0,544.285,-287.285,26.63333,39.06087,6.23709,Loam
2000.0,1900.0,No,31.53,75.91,wheat.winter,2,0,0,0.0,0.0,1.0,1.0,204.6,554.949,-350.349,26.06667,40.09929,6.93552,Loam
1600.0,1400.0,No,31.53,75.91,wheat.winter,2,0,0,0.0,0.0,1.0,1.0,204.6,554.949,-350.349,26.06667,40.09929,6.93552,Loam
1900.0,1500.0,No,31.53,75.91,wheat.winter,2,0,0,0.0,0.0,1.0,1.0,204.6,554.949,-350.349,26.06667,40.09929,6.93552,Loam
1400.0,1100.0,No,31.53,75.91,wheat.winter,2,0,0,0.0,0.0,1.0,1.0,204.6,554.949,-350.349,26.06667,40.09929,6.93552,Loam
1100.0,800.0,No,31.53,75.91,wheat.winter,2,0,0,0.0,0.0,1.0,1.0,204.6,554.949,-350.349,26.06667,40.09929,6.93552,Loam
2000.0,1600.0,No,31.53,75.91,wheat.winter,2,0,0,0.0,1.0,1.0,1.0,204.6,554.949,-350.349,26.06667,40.09929,6.93552,Loam
1600.0,1400.0,No,31.53,75.91,wheat.winter,2,0,0,0.0,1.0,1.0,1.0,204.6,554.949,-350.349,26.06667,40.09929,6.93552,Loam
1900.0,1200.0,No,31.53,75.91,wheat.winter,2,0,0,0.0,1.0,1.0,1.0,204.6,554.949,-350.349,26.06667,40.09929,6.93552,Loam
1400.0,1400.0,No,31.53,75.91,wheat.winter,2,0,0,0.0,1.0,1.0,1.0,204.6,554.949,-350.349,26.06667,40.09929,6.93552,Loam
1100.0,1000.0,No,31.53,75.91,wheat.winter,2,0,0,0.0,1.0,1.0,1.0,204.6,554.949,-350.349,26.06667,40.09929,6.93552,Loam
800.0,800.0,No,31.53,75.91,wheat.winter,3,0,0,0.0,0.0,1.0,1.0,390.5,544.044,-153.544,25.9,38.21095,6.19316,Loam
1000.0,900.0,No,31.53,75.91,wheat.winter,3,0,0,0.0,0.0,1.0,1.0,390.5,544.044,-153.544,25.9,38.21095,6.19316,Loam
800.0,700.0,No,31.53,75.91,wheat.winter,3,0,0,0.0,0.0,1.0,1.0,390.5,544.044,-153.544,25.9,38.21095,6.19316,Loam
800.0,700.0,No,31.53,75.91,wheat.winter,3,0,0,0.0,0.0,1.0,1.0,390.5,544.044,-153.544,25.9,38.21095,6.19316,Loam
500.0,400.0,No,31.53,75.91,wheat.winter,3,0,0,0.0,0.0,1.0,1.0,390.5,544.044,-153.544,25.9,38.21095,6.19316,Loam
800.0,900.0,Yes,31.53,75.91,wheat.winter,3,0,0,0.0,1.0,1.0,1.0,390.5,544.044,-153.544,25.9,38.21095,6.19316,Loam
1000.0,1000.0,No,31.53,75.91,wheat.winter,3,0,0,0.0,1.0,1.0,1.0,390.5,544.044,-153.544,25.9,38.21095,6.19316,Loam
800.0,800.0,No,31.53,75.91,wheat.winter,3,0,0,0.0,1.0,1.0,1.0,390.5,544.044,-153.544,25.9,38.21095,6.19316,Loam
800.0,900.0,Yes,31.53,75.91,wheat.winter,3,0,0,0.0,1.0,1.0,1.0,390.5,544.044,-153.544,25.9,38.21095,6.19316,Loam
500.0,700.0,Yes,31.53,75.91,wheat.winter,3,0,0,0.0,1.0,1.0,1.0,390.5,544.044,-153.544,25.9,38.21095,6.19316,Loam
1500.0,1200.0,No,31.53,75.91,wheat.winter,4,0,0,0.0,0.0,1.0,1.0,242.2,543.395,-301.195,24.95,36.05557,4.67771,Loam
1500.0,1100.0,No,31.53,75.91,wheat.winter,4,0,0,0.0,0.0,1.0,1.0,242.2,543.395,-301.195,24.95,36.05557,4.67771,Loam
2000.0,1400.0,No,31.53,75.91,wheat.winter,4,0,0,0.0,0.0,1.0,1.0,242.2,543.395,-301.195,24.95,36.05557,4.67771,Loam
1400.0,800.0,No,31.53,75.91,wheat.winter,4,0,0,0.0,0.0,1.0,1.0,242.2,543.395,-301.195,24.95,36.05557,4.67771,Loam
1000.0,500.0,No,31.53,75.91,wheat.winter,4,0,0,0.0,0.0,1.0,1.0,242.2,543.395,-301.195,24.95,36.05557,4.67771,Loam
1500.0,1800.0,Yes,31.53,75.91,wheat.winter,4,0,0,0.0,1.0,1.0,1.0,242.2,543.395,-301.195,24.95,36.05557,4.67771,Loam
1500.0,1500.0,No,31.53,75.91,wheat.winter,4,0,0,0.0,1.0,1.0,1.0,242.2,543.395,-301.195,24.95,36.05557,4.67771,Loam
2000.0,2300.0,Yes,31.53,75.91,wheat.winter,4,0,0,0.0,1.0,1.0,1.0,242.2,543.395,-301.195,24.95,36.05557,4.67771,Loam
1400.0,1700.0,Yes,31.53,75.91,wheat.winter,4,0,0,0.0,1.0,1.0,1.0,242.2,543.395,-301.195,24.95,36.05557,4.67771,Loam
1000.0,1100.0,Yes,31.53,75.91,wheat.winter,4,0,0,0.0,1.0,1.0,1.0,242.2,543.395,-301.195,24.95,36.05557,4.67771,Loam
3400.0,3300.0,No,31.53,75.91,wheat.winter,5,0,0,0.0,0.0,1.0,1.0,195.4,569.092,-373.692,26.2,39.44091,5.65401,Loam
3200.0,3100.0,No,31.53,75.91,wheat.winter,5,0,0,0.0,0.0,1.0,1.0,195.4,569.092,-373.692,26.2,39.44091,5.65401,Loam
3100.0,2900.0,No,31.53,75.91,wheat.winter,5,0,0,0.0,0.0,1.0,1.0,195.4,569.092,-373.692,26.2,39.44091,5.65401,Loam
3100.0,2400.0,No,31.53,75.91,wheat.winter,5,0,0,0.0,0.0,1.0,1.0,195.4,569.092,-373.692,26.2,39.44091,5.65401,Loam
1600.0,800.0,No,31.53,75.91,wheat.winter,5,0,0,0.0,0.0,1.0,1.0,195.4,569.092,-373.692,26.2,39.44091,5.65401,Loam
3400.0,4500.0,Yes,31.53,75.91,wheat.winter,5,0,0,0.0,1.0,1.0,1.0,195.4,569.092,-373.692,26.2,39.44091,5.65401,Loam
3200.0,3700.0,Yes,31.53,75.91,wheat.winter,5,0,0,0.0,1.0,1.0,1.0,195.4,569.092,-373.692,26.2,39.44091,5.65401,Loam
3100.0,3200.0,Yes,31.53,75.91,wheat.winter,5,0,0,0.0,1.0,1.0,1.0,195.4,569.092,-373.692,26.2,39.44091,5.65401,Loam
3100.0,3200.0,Yes,31.53,75.91,wheat.winter,5,0,0,0.0,1.0,1.0,1.0,195.4,569.092,-373.692,26.2,39.44091,5.65401,Loam
1600.0,2000.0,Yes,31.53,75.91,wheat.winter,5,0,0,0.0,1.0,1.0,1.0,195.4,569.092,-373.692,26.2,39.44091,5.65401,Loam
11010.0,11020.0,Yes,52.58,0.87,wheat.winter,1,0,0,,,1.0,0.0,717.9,367.736,350.164,11.6,23.45141,3.30704,Sandy clay loam
11400.0,11020.0,No,52.58,0.87,wheat.winter,2,0,0,,,1.0,0.0,572.2,361.298,210.902,10.82,22.17272,1.20924,Sandy clay loam
8800.0,8710.0,No,52.58,0.87,wheat.winter,3,0,0,,,1.0,0.0,561.2,370.071,191.129,11.55,22.84738,2.17984,Sandy clay loam
2420.0,2990.0,Yes,-17.62,31.17,maize,7,0,0,0.0,1.0,1.0,1.0,223.8,676.238,-452.438,23.06667,27.26348,6.70592,Sandy clay loam
14400.0,10500.0,No,20.73,-101.32,maize,7,0,0,0.0,1.0,1.0,1.0,592.1,710.877,-118.777,19.52857,32.77286,12.24747,Clay loam
14600.0,10500.0,No,20.73,-101.32,maize,7,0,0,0.0,1.0,1.0,1.0,592.1,710.877,-118.777,19.52857,32.77286,12.24747,Clay loam
7930.0,8127.0,Yes,42.4,-85.4,maize,1,0,0,,,,,614.9,513.84,101.06,15.05714,28.76993,-0.26978,Loam
8335.0,8039.0,No,42.4,-85.4,maize,3,1,1,,,,,698.0,538.818,159.182,16.67143,29.00605,-1.22915,Loam
7087.0,7076.0,No,42.4,-85.4,maize,5,1,1,,,,,699.3,492.824,206.476,15.22857,27.99839,-0.03682,Loam
3187.0,4053.0,Yes,42.4,-85.4,maize,8,1,1,,,,,545.2,498.86,46.34,15.08571,28.44979,-2.4774,Loam
4009.0,3801.0,No,42.4,-85.4,maize,11,1,1,,,,,351.3,544.982,-193.682,15.97143,30.02138,0.78582,Loam
5411.0,5323.0,No,42.4,-85.4,maize,14,1,1,,,,,451.5,533.166,-81.666,15.21429,29.986,-0.87763,Loam
2859.0,2957.0,Yes,42.4,-85.4,soybean,2,1,1,,,,,610.9,493.419,117.481,17.51667,26.92951,5.23138,Loam
3001.0,2848.0,No,42.4,-85.4,soybean,6,1,1,,,,,506.1,515.802,-9.702,17.8,27.87378,6.3973,Loam
1522.0,2048.0,Yes,42.4,-85.4,soybean,9,1,1,,,,,498.6,479.439,19.161,16.48333,27.56648,5.10322,Loam
2662.0,2935.0,Yes,42.4,-85.4,soybean,12,1,1,,,,,669.4,494.078,175.322,17.06667,26.15148,6.48768,Loam
3297.0,3494.0,Yes,42.4,-85.4,wheat.winter,7,1,1,,,,,671.9,544.888,127.012,8.24,26.95432,-8.37912,Loam
3023.0,2804.0,No,42.4,-85.4,wheat.winter,10,1,1,,,,,726.0,589.661,136.339,9.91,30.02138,-9.41197,Loam
4206.0,3735.0,No,42.4,-85.4,wheat.winter,13,1,1,,,,,839.0,577.515,261.485,10.13,29.986,-5.21872,Loam
3324.0,3579.0,Yes,49.86,-99.96,barley.spring,1,0,0,0.0,1.0,1.0,1.0,320.5,419.288,-98.788,15.96,25.77599,5.86923,Loam
1088.0,1712.0,Yes,49.86,-99.96,barley.spring,2,0,0,0.0,1.0,1.0,1.0,281.6,452.122,-170.522,17.02,29.0879,5.48081,Loam
954.0,1176.0,Yes,49.86,-99.96,barley.spring,2,0,0,0.0,1.0,1.0,1.0,281.6,452.122,-170.522,17.02,29.0879,5.48081,Loam
2075.0,2263.0,Yes,49.86,-99.96,barley.spring,3,0,0,0.0,1.0,1.0,1.0,237.8,424.268,-186.468,16.24,28.2471,4.70785,Loam
3883.0,4220.0,Yes,49.86,-99.96,barley.spring,3,0,0,0.0,1.0,1.0,1.0,237.8,424.268,-186.468,16.24,28.2471,4.70785,Loam
2456.0,2391.0,No,49.86,-99.96,barley.spring,4,0,0,0.0,1.0,1.0,1.0,344.9,428.875,-83.975,15.32,25.69177,3.12486,Loam
5745.0,5516.0,No,49.86,-99.96,barley.spring,4,0,0,0.0,1.0,1.0,1.0,344.9,428.875,-83.975,15.32,25.69177,3.12486,Loam
1734.0,1964.0,Yes,49.86,-99.96,barley.spring,1,0,0,0.0,1.0,1.0,1.0,320.5,419.288,-98.788,15.96,25.77599,5.86923,Loam
10420.0,9780.0,No,38.08,-86.15,maize,6,0,0,0.0,1.0,1.0,1.0,524.9,550.974,-26.074,21.11667,31.31532,8.00487,Loam
9370.0,8440.0,No,38.08,-86.15,maize,6,0,0,0.0,1.0,1.0,1.0,524.9,550.974,-26.074,21.11667,31.31532,8.00487,Loam
11050.0,10960.0,No,38.08,-86.15,maize,7,0,0,0.0,1.0,1.0,1.0,595.3,501.298,94.002,19.96667,30.12658,7.14011,Loam
10610.0,10330.0,No,38.08,-86.15,maize,7,0,0,0.0,1.0,1.0,1.0,595.3,501.298,94.002,19.96667,30.12658,7.14011,Loam
13330.0,13110.0,No,38.08,-86.15,maize,8,0,0,0.0,1.0,1.0,1.0,617.9,528.687,89.213,20.26667,30.25089,9.41076,Loam
13130.0,11850.0,No,38.08,-86.15,maize,8,0,0,0.0,1.0,1.0,1.0,617.9,528.687,89.213,20.26667,30.25089,9.41076,Loam
10440.0,10250.0,No,38.08,-86.15,maize,9,0,0,0.0,1.0,1.0,1.0,533.8,548.603,-14.803,21.4,33.68884,8.97663,Loam
9050.0,5250.0,No,38.08,-86.15,maize,9,0,0,0.0,1.0,1.0,1.0,533.8,548.603,-14.803,21.4,33.68884,8.97663,Loam
12890.0,12100.0,No,38.08,-86.15,maize,10,0,0,0.0,1.0,1.0,1.0,660.2,521.501,138.699,20.63333,30.74465,10.41143,Loam
11270.0,10120.0,No,38.08,-86.15,maize,10,0,0,0.0,1.0,1.0,1.0,660.2,521.501,138.699,20.63333,30.74465,10.41143,Loam
3190.0,2810.0,No,46.57,23.79,wheat.winter,2,1,1,,,1.0,1.0,635.0,522.317,112.683,10.70909,28.14314,-4.80742,Loam
2610.0,2160.0,No,46.57,23.79,wheat.winter,2,1,1,,,1.0,1.0,635.0,522.317,112.683,10.70909,28.14314,-4.80742,Loam
1780.0,1550.0,No,46.57,23.79,wheat.winter,2,1,1,,,1.0,1.0,635.0,522.317,112.683,10.70909,28.14314,-4.80742,Loam
19100.0,16600.0,No,48.12,9.03,maize,4,1,1,0.0,0.0,1.0,1.0,518.2,413.488,104.712,15.18333,22.68403,3.06619,Loam
2676.0,2395.0,No,34.02,71.47,maize,2,0,0,1.0,1.0,1.0,1.0,313.8,493.206,-179.406,21.62,35.89181,15.09477,Loam
7420.0,8730.0,Yes,37.34,102.94,wheat.spring,1,0,0,0.0,1.0,,,321.6,323.41,-1.81,4.36,17.34275,-8.68014,Loam
8730.0,8980.0,Yes,37.34,102.94,wheat.spring,1,0,0,0.0,1.0,,,321.6,323.41,-1.81,4.36,17.34275,-8.68014,Loam
7130.0,7910.0,Yes,37.34,102.94,wheat.spring,1,0,0,0.0,1.0,,,321.6,323.41,-1.81,4.36,17.34275,-8.68014,Loam
8230.0,9130.0,Yes,37.34,102.94,wheat.spring,1,0,0,0.0,1.0,,,321.6,323.41,-1.81,4.36,17.34275,-8.68014,Loam
8190.0,9080.0,Yes,37.34,102.94,wheat.spring,1,0,0,0.0,1.0,,,321.6,323.41,-1.81,4.36,17.34275,-8.68014,Loam
7870.0,8550.0,Yes,37.34,102.94,wheat.spring,1,0,0,0.0,1.0,,,321.6,323.41,-1.81,4.36,17.34275,-8.68014,Loam
4430.0,4560.0,Yes,46.59,-116.95,barley.spring,3,1,1,0.0,1.0,1.0,1.0,135.3,490.303,-355.003,14.26,29.47334,0.51695,Loam
7050.0,6790.0,No,46.59,-116.95,barley.spring,2,1,1,0.0,1.0,1.0,1.0,279.3,507.441,-228.141,16.14,31.41693,2.64751,Loam
4300.0,4500.0,Yes,46.59,-116.95,wheat.winter,2,1,1,0.0,1.0,1.0,1.0,414.0,612.918,-198.918,9.99091,29.47334,-4.22206,Loam
7260.0,7190.0,No,46.59,-116.95,wheat.winter,1,1,1,0.0,1.0,1.0,1.0,491.5,646.139,-154.639,11.54545,31.41693,-3.63194,Loam
2090.0,1860.0,No,-20.35,32.35,cotton,1,0,0,0.0,1.0,1.0,1.0,528.4,881.308,-352.908,26.4,30.45016,12.65897,Sandy clay
3660.0,2450.0,No,-20.35,32.35,cotton,2,0,0,0.0,1.0,1.0,1.0,403.6,928.085,-524.485,27.1125,31.8465,12.90323,Sandy clay
4030.0,3800.0,No,-20.35,32.35,cotton,3,0,0,0.0,1.0,1.0,1.0,461.8,899.826,-438.026,26.7625,31.28425,14.79527,Sandy clay
3650.0,3380.0,No,-20.35,32.35,cotton,4,0,0,0.0,1.0,1.0,1.0,385.4,914.019,-528.619,26.4,32.09324,12.5479,Sandy clay
2930.0,2270.0,No,-20.35,32.35,cotton,5,0,0,0.0,1.0,1.0,1.0,278.3,926.576,-648.276,27.5875,32.77157,12.85598,Sandy clay
3400.0,3210.0,No,-20.35,32.35,cotton,6,0,0,0.0,1.0,1.0,1.0,421.1000057,864.7600083,-443.66,26.97500014,32.60930412,12.24088804,Sandy clay
4810.0,4740.0,No,-20.35,32.35,wheat.winter,2,0,0,0.0,1.0,1.0,1.0,120.8,439.188,-318.388,20.73333,30.48425,9.85414,Sandy clay
4530.0,4400.0,No,-20.35,32.35,wheat.winter,3,0,0,0.0,1.0,1.0,1.0,36.0,403.133,-367.133,21.03333,29.60023,10.09435,Sandy clay
4670.0,4220.0,No,-20.35,32.35,wheat.winter,4,0,0,0.0,1.0,1.0,1.0,104.7,415.538,-310.838,20.16667,29.60221,9.44073,Sandy clay
4500.0,4210.0,No,-20.35,32.35,wheat.winter,5,0,0,0.0,1.0,1.0,1.0,-44.5,411.247,-455.747,19.86667,29.41088,10.35457,Sandy clay
7672.0,9107.0,Yes,40.65,-104.98,maize,2,0,0,0.0,1.0,1.0,1.0,197.5,567.114,-369.614,14.04286,29.94307,-9.69776,Loam
5326.0,5725.0,Yes,40.65,-104.98,maize,2,0,0,0.0,1.0,1.0,1.0,197.5,567.114,-369.614,14.04286,29.94307,-9.69776,Loam
9933.0,9908.0,No,40.65,-104.98,maize,2,0,0,0.0,1.0,1.0,1.0,197.5,567.114,-369.614,14.04286,29.94307,-9.69776,Loam
10631.0,9404.0,No,40.65,-104.98,maize,2,0,0,0.0,1.0,1.0,1.0,197.5,567.114,-369.614,14.04286,29.94307,-9.69776,Loam
6785.0,7058.0,Yes,40.65,-104.98,maize,3,0,0,0.0,1.0,1.0,1.0,253.0,566.023,-313.023,14.88571,29.96927,-3.21418,Loam
13964.0,11499.0,No,40.65,-104.98,maize,3,0,0,0.0,1.0,1.0,1.0,253.0,566.023,-313.023,14.88571,29.96927,-3.21418,Loam
11535.0,9222.0,No,40.65,-104.98,maize,3,0,0,0.0,1.0,1.0,1.0,253.0,566.023,-313.023,14.88571,29.96927,-3.21418,Loam
13606.0,10778.0,No,40.65,-104.98,maize,3,0,0,0.0,1.0,1.0,1.0,253.0,566.023,-313.023,14.88571,29.96927,-3.21418,Loam
12348.0,11133.0,No,40.65,-104.98,maize,4,0,0,0.0,1.0,1.0,1.0,267.2,553.256,-286.056,13.92857,31.38396,-4.81392,Loam
6304.0,5422.0,No,40.65,-104.98,maize,4,0,0,0.0,1.0,1.0,1.0,267.2,553.256,-286.056,13.92857,31.38396,-4.81392,Loam
12491.0,9542.0,No,40.65,-104.98,maize,4,0,0,0.0,1.0,1.0,1.0,267.2,553.256,-286.056,13.92857,31.38396,-4.81392,Loam
10986.0,7150.0,No,40.65,-104.98,maize,4,0,0,0.0,1.0,1.0,1.0,267.2,553.256,-286.056,13.92857,31.38396,-4.81392,Loam
8565.0,8123.0,No,40.65,-104.98,maize,5,0,0,0.0,1.0,1.0,1.0,223.0,576.644,-353.644,14.8,31.98261,-5.42037,Loam
10533.0,9851.0,No,40.65,-104.98,maize,5,0,0,0.0,1.0,1.0,1.0,223.0,576.644,-353.644,14.8,31.98261,-5.42037,Loam
11756.0,10572.0,No,40.65,-104.98,maize,5,0,0,0.0,1.0,1.0,1.0,223.0,576.644,-353.644,14.8,31.98261,-5.42037,Loam
6922.0,4689.0,No,40.65,-104.98,maize,5,0,0,0.0,1.0,1.0,1.0,223.0,576.644,-353.644,14.8,31.98261,-5.42037,Loam
12254.0,11327.0,No,40.65,-104.98,maize,6,0,0,0.0,1.0,1.0,1.0,445.4,552.736,-107.336,13.85714,27.27658,-4.86435,Loam
11272.0,8981.0,No,40.65,-104.98,maize,6,0,0,0.0,1.0,1.0,1.0,445.4,552.736,-107.336,13.85714,27.27658,-4.86435,Loam
10454.0,7265.0,No,40.65,-104.98,maize,6,0,0,0.0,1.0,1.0,1.0,445.4,552.736,-107.336,13.85714,27.27658,-4.86435,Loam
6287.0,4197.0,No,40.65,-104.98,maize,6,0,0,0.0,1.0,1.0,1.0,445.4,552.736,-107.336,13.85714,27.27658,-4.86435,Loam
2201.0,2388.0,Yes,46.82,-100.88,sunflower,4,0,0,0.0,1.0,1.0,1.0,352.5,483.363,-130.863,15.88333,29.04359,-2.28589,Loam
2260.0,2360.0,Yes,46.82,-100.88,sunflower,4,0,0,0.0,1.0,1.0,1.0,352.5,483.363,-130.863,15.88333,29.04359,-2.28589,Loam
1977.0,2064.0,Yes,46.82,-100.88,sunflower,4,0,0,0.0,1.0,1.0,1.0,352.5,483.363,-130.863,15.88333,29.04359,-2.28589,Loam
1906.0,1888.0,No,46.82,-100.88,sunflower,4,0,0,0.0,1.0,1.0,1.0,352.5,483.363,-130.863,15.88333,29.04359,-2.28589,Loam
1975.0,1951.0,No,46.82,-100.88,sunflower,4,0,0,0.0,1.0,1.0,1.0,352.5,483.363,-130.863,15.88333,29.04359,-2.28589,Loam
1808.0,1783.0,No,46.82,-100.88,sunflower,4,0,0,0.0,1.0,1.0,1.0,352.5,483.363,-130.863,15.88333,29.04359,-2.28589,Loam
935.0,1173.0,Yes,46.82,-100.88,sunflower,5,0,0,0.0,1.0,1.0,1.0,201.0,496.658,-295.658,17.31667,32.61848,-1.78006,Loam
791.0,882.0,Yes,46.82,-100.88,sunflower,5,0,0,0.0,1.0,1.0,1.0,201.0,496.658,-295.658,17.31667,32.61848,-1.78006,Loam
940.0,1006.0,Yes,46.82,-100.88,sunflower,5,0,0,0.0,1.0,1.0,1.0,201.0,496.658,-295.658,17.31667,32.61848,-1.78006,Loam
900.0,924.0,Yes,46.82,-100.88,sunflower,5,0,0,0.0,1.0,1.0,1.0,201.0,496.658,-295.658,17.31667,32.61848,-1.78006,Loam
